LATITUDE,LONGITUD
33.59133056,-86.1319
33.80918611,-87.2898
32.76773611,-86.564
31.02780556,-87.6432
33.33210278,-86.9938
34.33426389,-85.8319
30.68679444,-88.1268
33.47605556,-86.9264
30.67824444,-88.1274
33.41248333,-86.8066
33.62233333,-85.605
34.748,-86.7889
34.69701944,-86.3776
32.66133611,-87.5465
33.79911389,-86.3405
34.25033333,-86.8815
33.92585833,-86.6046
34.06671111,-86.7624
32.33431389,-86.2711
34.68191389,-87.5908
34.77103611,-86.5857
34.20114722,-85.6216
34.91951667,-87.5319
33.70040833,-86.5138
31.44216389,-86.9313
33.65479722,-85.5546
33.58796944,-86.6994
33.11219167,-86.5993
34.84876667,-87.3226
34.83626667,-86.4659
34.53574722,-86.9088
30.65939167,-88.1103
34.215125,-86.8296
34.56191111,-87.0072
32.59588889,-86.056
33.46924167,-87.987
32.58283611,-86.2462
32.40756389,-85.0482
31.66978889,-85.8174
30.71172222,-88.0781
34.86742778,-86.8934
32.5914,-88.1829
33.66801667,-86.5804
34.85118611,-87.7532
34.68965556,-85.5711
32.464275,-85.0249
30.81046111,-88.0714
31.64838611,-85.462
31.16763056,-86.6018
30.78754722,-88.2876
31.96916667,-87.8709
33.83530278,-86.5676
33.57423889,-86.9069
32.52067222,-85.2549
31.77070556,-85.9169
33.75673056,-86.6394
33.75818333,-86.4446
34.71711389,-87.7463
30.5195,-87.7084
34.88531111,-86.8935
32.49865,-85.0448
30.88675278,-87.7233
33.23928889,-85.4825
33.81288889,-86.3843
31.47376389,-87.3512
33.90531667,-87.5702
33.46140556,-86.9154
33.922925,-87.0705
32.42993333,-86.9498
33.79005833,-86.3456
32.40755833,-87.0119
31.03475278,-87.4675
34.12429722,-86.0728
32.826225,-87.8486
32.37450833,-86.9339
33.2814,-86.8005
30.55615833,-88.2073
32.85683611,-87.9403
33.14205833,-86.7493
32.39534444,-86.3163
32.893075,-87.9524
32.36296111,-86.0457
30.77721667,-88.1421
32.45761944,-87.929
32.825075,-86.8117
32.52202778,-85.3822
